title,year,name,type,character,n
4,2015,4,0,9,31.0
29,1985,13,0,21,22.0
2,2017,0,0,8,10.0
25,2015,0,0,1,20.5
26,2015,0,0,0,20.5
27,2015,0,0,13,20.5
27,2015,0,0,17,20.5
8,2009,3,0,37,20.5
14,2014,15,0,24,9.0
7,2014,27,0,2,20.5
39,2014,28,0,39,8.0
15,2015,21,0,12,9.0
19,1998,21,0,35,20.5
33,2000,26,0,15,20.5
0,2016,17,0,7,20.5
9,2017,17,0,7,20.5
20,2010,10,0,14,16.0
20,2010,10,0,11,16.0
11,2017,24,0,38,20.5
18,1997,16,0,34,31.0
21,1977,25,0,32,20.5
35,2014,11,0,28,20.5
1,2009,19,0,16,20.5
5,2015,7,0,25,20.5
32,2011,6,0,40,20.5
23,1993,9,0,36,12.0
16,1963,1,0,4,25.0
6,2001,18,0,20,80.0
16,1963,2,0,10,20.0
34,2015,30,0,18,25.0
17,2014,12,0,27,21.0
38,2013,20,0,19,19.0
13,1993,29,0,26,51.0
36,2013,8,0,5,20.5
10,2008,5,0,29,20.5
3,1971,22,0,23,20.5
12,1978,22,0,23,48.0
30,1975,22,0,6,22.0
37,1996,23,0,31,21.0
22,2008,14,0,3,35.0
24,2014,14,0,22,6.0
28,2008,14,0,33,9.0
31,2005,14,0,30,18.0
